Misurazione,5T_m4.97g,5T_m10.32g,5T_m20.03g,5T_m30.03g,5T_m49.99g,5T_vuoto_1,5T_vuoto_2,5T_vuoto_3,5T_vuoto_4,5T_vuoto_5
1,4.86,5.16,5.76,6.4,7.32,4.41,4.42,4.5,4.4,4.46
2,5.0,5.18,5.78,6.27,7.24,4.43,4.37,4.46,4.38,4.4
3,4.96,5.35,6.0,6.37,7.32,4.44,4.41,4.45,4.41,4.47
4,4.84,5.26,5.86,6.35,7.32,4.49,4.4,4.35,4.46,4.38
5,4.9,5.13,5.96,6.32,7.26,4.41,4.46,4.46,4.35,4.41
6,5.03,5.16,5.86,6.29,7.29,4.56,4.4,4.5,4.46,4.4
7,4.91,5.2,5.93,6.41,7.3,4.34,4.46,4.43,4.43,4.35
8,5.06,5.12,5.8,6.27,7.29,4.55,4.49,4.41,4.43,4.36
9,4.94,5.06,5.72,6.27,7.27,4.43,4.41,4.41,4.46,4.37
10,4.83,5.15,5.87,6.41,7.36,4.46,4.43,4.4,4.4,4.38

